year,value
1960,9396705.835
1961,9434402.595
1962,9818839.874
1963,10355747.35
1964,10947007.09
1965,11433441.98
1966,12009447
1967,12389685.57
1968,13017193.61
1969,13797116.84
1970,14788798.31
1971,15323175.56
1972,15957192.52
1973,16822109.48
1974,16850822.09
1975,16745791.87
1976,17726098.32
1977,18279804.32
1978,18497906.48
1979,19533547.95
1980,19324327.26
1981,18726246.9
1982,18562354
1983,18484356.91
1984,19145865.38
1985,19719241.16
1986,20315356.02
1987,20817151.96
1988,21565403.31
1989,22029385.16
1990,22149402.4
1991,22403928.87
1992,22183417.49
1993,22162174.56
1994,22551690.63
1995,23037524.13
1996,23571556.67
1997,23975007.35
1998,24114192
1999,24059187
2000,24689911
2001,25276631
2002,25646998
2003,27047792
2004,28393581
2005,29490014
2006,30568112
2007,31180501
2008,32181592
2009,31891899
2010,33472376
2011,34847501
2012,35470891
2013,35837591
2014,36138285
