CountryName,CountryCode,GDPPerCapita,ElectricityPerCapita,CO2PerCapita
Afghanistan,AFG,613.8563329,..,0.293946407
Albania,ALB,4578.66672,2309.366503,1.978763312
Algeria,DZA,5493.02559,1362.871919,3.735520147
American Samoa,ASM,11507.23235,..,..
Andorra,AND,42300.33413,..,5.832906215
Angola,AGO,5408.410496,312.228825,1.290306776
Antigua and Barbuda,ATG,13501.58092,..,5.744419956
Argentina,ARG,12334.79825,3074.702071,4.781507775
Armenia,ARM,3986.231624,1961.610395,1.898719374
Aruba,ABW,25533.56978,..,8.410064178
Australia,AUS,62510.79117,10071.39898,15.38876602
Austria,AUT,51717.49594,8355.841952,6.86986793
Azerbaijan,AZE,7891.313147,2202.393918,3.931560609
"Bahamas, The",BHS,29445.03053,..,6.520069719
Bahrain,BHR,24989.38021,19596.95376,23.45540632
Bangladesh,BGD,1118.853663,320.2041582,0.47365761
Barbados,BRB,16488.52576,..,4.467476521
Belarus,BLR,8318.51269,3679.97884,6.701957705
Belgium,BEL,47700.54036,7709.123078,8.328159898
Belize,BLZ,4705.610045,..,1.400941234
Benin,BEN,1291.409808,100.2251225,0.61420609
Bermuda,BMU,..,..,8.838314988
Bhutan,BTN,2652.214588,..,1.392229534
Bolivia,BOL,3081.878834,742.5383997,1.90636432
Bosnia and Herzegovina,BIH,5329.635045,3446.766668,6.384938819
Botswana,BWA,7780.638385,1815.558069,3.367451334
Brazil,BRA,12112.58821,2619.960616,2.612933521
British Virgin Islands,VGB,..,..,6.198316603
Brunei Darussalam,BRN,41726.78397,10291.16405,22.2291779
Bulgaria,BGR,7864.760672,4708.927458,5.871615869
Burkina Faso,BFA,703.8200556,..,0.162018438
Burundi,BDI,274.8579479,..,0.044699992
Cabo Verde,CPV,3588.674054,..,0.948113817
Cambodia,KHM,1093.496191,271.3672582,0.437653585
Cameroon,CMR,1540.568182,275.1979137,0.308791722
Canada,CAN,50835.51118,15588.48715,15.15892722
Cayman Islands,CYM,74990.43322,..,8.91920852
Central African Republic,CAF,423.8841246,..,0.067357126
Chad,TCD,1018.930956,..,0.053407242
Channel Islands,CHI,..,..,..
Chile,CHL,14670.99676,3879.675605,4.6490622
